번호,주차장 이름,차량 수용대수(전체 중 장애인 차량 수용대수),주차 요금(1시간 기준),경도,위도
1,코스트코세종점,387,0,127.2691617,36.4675447
2,서문메디컬센터(SM메디컬센터) 건물 주차장,127,0,127.2759117,36.47127397
3,해피라움블루 건물 주차장,270,0,127.2749337,36.47368738
4,대평전통시장 주차장,41,800,127.2816161,36.46543319
5,보람동1 주차장,60,0,127.2880534,36.47741848
6,보람동2 주차장,70,0,127.2886478,36.47771821
7,보람동3 주차장,70,0,127.2896079,36.47766063
9,금강수변공원주차장,60,0,127.2913051,36.48216692
10,세종시청주차장(민원인),576,0,127.2870131,36.47924407
11,아아콤스타시티 (현대자동차),500,0,127.3014453,36.48573042
12,소담복합커뮤니티센터,500,0,127.3003683,36.48407359
13,세종국책연구단지,846,0,127.30309,36.49449141
14,이름없음,100,0,127.3020849,36.49104093
15,세종비즈니스센터,547,0,127.2649075,36.4956272
16,에비뉴힐 (영풍문고),273,0,127.2622955,36.49534749
17,세종중앙타운주차장,301,1600,127.262445,36.50830733
18,어진프라자 주차장(민영),274,1600,127.2628709,36.50749193
19,홈플러스세종점,250,0,127.2588009,36.50738909
20,세종호수공원 제1주차장,500,0,127.2680723,36.49166813
21,정부세종청사제8주차장,500,0,127.2628222,36.50236446
22,정부세종청사 제9주차장,500,0,127.2632397,36.50100843
24,싱싱장터 도담점 주차장,200,1600,127.2599239,36.51555961
25,세종한신휴시티지하주차장,515,1600,127.2586021,36.51430546
26,세종라온프라이빗시티1차,207,1600,127.2587789,36.51342666
27,도담프라자,127,1600,127.2583176,36.51282082
28,도담동먹자골목 노상 공영 주차장,13,1400,127.2584634,36.51335555
29,원프라자,107,1600,127.2578432,36.5155759
30,종촌동공영주차장,160,1400,127.2497075,36.50374843
31,메가시티,200,0,127.2481238,36.50281603
32,몰리브상가,200,0,127.2476298,36.50268132
33,아름동공영주차장,236,1400,127.2478657,36.51139728
34,아름주차장,54,0,127.2484291,36.51232252
35,아름행복타워 (GS타임즈 아름행복타워 민영 주차장),49,2000,127.2430111,36.51225636
36,동행주차타워,108,1400,127.2431164,36.512555
37,하모니타워2,38,1400,127.2355037,36.51926726
38,하모니타워1,43,1400,127.2343477,36.50562956
39,고운동복합커뮤니케이션센터 (남측),50,0,127.2353642,36.50497409
40,페스티발1,45,0,127.2485426,36.49529674
41,페스티발2,90,0,127.2492573,36.49518147
42, 무지개타워 (P214) (3-6F 주차장),300,1400,127.2512329,36.4845333
43,온누리타워 (주차타워),50,1400,127.2502526,36.48653499
44,한솔동행정복지센터,26,0,127.2546671,36.479174
45,"세종센터빌딩 (A(26), B(27)동)",53,0,127.2534132,36.47993226
46,골든타워 (2-3층 주차빌딩),50,1400,127.2538478,36.47983233
47,이마트세종점,615,0,127.2510637,36.47114446
48,세종2청사 임시 공영 주차장,70,0,127.2614448,36.48487742
49,2생활권환승주차장A (첫마을 BRT 환승센터A) (225) (전기차충전),271,0,127.2612227,36.48104191
50,세종행복타워 민영 주차장,127,2000,127.2618137,36.48023627
51,나리2로 노상 공영 주차장 (무인),44,1400,127.2606333,36.48135086
52,2생활권환승주차장B (226) (전기차충전),271,0,127.2621216,36.48146258
53,나성동 임시 공영 주차장1,100,0,127.2583251,36.48892553
54,나성동 임시 공영 주차장2,70,0,127.2588161,36.4905915
55,상리1 공영 주차장(세종고용복지+센터 부설주차장),90,600,127.3020376,36.60149465
56,조치원 주차타워 (원리 2 주차장),200,800,127.2978272,36.60059991
57,조치원역 서부 주차장 (조치원역 공영 주차장),165,1900,127.2953981,36.60058154
58,조치원역 동부주차장,65,1900,127.2963515,36.60051896
59,조치원 전통시장 주차장 (정리 1공영 주차장),26,800,127.2999808,36.59971935
60,죽림1 노상 공영 주차장,42,0,127.2972027,36.59150556
61,침산리 3공영 주차장,100,0,127.2923511,36.60436348
62,조치원 전통시장 주차장 재건축 후보지 (국비 36억원 투자 예정지),120,800,127.2995816,36.59976215
63,주차장 시뮬레이션 후보지,30,0,127.2967112,36.60291159
64,주차장 시뮬레이션 후보지,50,0,127.2755077,36.47407446
65,주차장 시뮬레이션 후보지 (임시주차장 (공터)),50,0,127.2561693,36.4867557
66,주차장 시뮬레이션 후보지 (소담동 공터),300,0,127.297135,36.48616051
67,"주차장 시뮬레이션 후보지 (보람동 공터, 세종세무서 예정지)",300,0,127.2859838,36.47885206
